time_hms,kb_per_sec_in,kb_per_sec_out
20:13:28,0.0,0.0
20:13:29,0.0,0.2
20:13:30,0.0,0.0
20:13:31,0.0,0.0
20:13:32,0.0,0.0
20:13:33,0.0,0.1
20:13:34,0.0,0.0
20:13:35,0.1,0.2
20:13:36,0.0,0.0
20:13:37,0.0,0.2
20:13:38,0.0,0.0
20:13:39,0.0,0.0
20:13:40,0.0,0.0
20:13:41,0.0,0.0
20:13:42,0.0,0.0
20:13:43,0.0,0.0
20:13:44,0.0,0.0
20:13:45,0.0,0.0
20:13:46,0.0,0.0
20:13:47,0.0,0.0
20:13:48,0.0,0.1
20:13:49,0.0,0.0
20:13:50,0.0,0.0
20:13:51,0.0,0.0
20:13:52,0.0,0.1
20:13:53,0.0,0.2
20:13:54,0.1,0.1
20:13:55,0.0,0.0
20:13:56,0.0,0.0
20:13:57,0.0,0.0
20:13:58,0.0,0.0
20:13:59,0.0,0.0
20:14:00,0.0,0.0
20:14:01,0.0,0.0
20:14:02,0.0,0.0
20:14:03,0.0,0.0
20:14:04,0.0,0.0
20:14:05,0.0,0.0
20:14:06,0.0,0.0
20:14:07,0.0,0.0
20:14:08,0.0,0.0
20:14:09,0.0,0.0
20:14:10,0.0,0.0
20:14:11,0.0,0.0
20:14:12,0.0,0.0
20:14:13,0.0,0.0
20:14:14,0.0,0.0
20:14:15,0.0,0.0
20:14:16,0.0,0.0
20:14:17,0.0,0.0
20:14:18,0.0,0.1
20:14:19,0.0,0.0
20:14:20,0.0,0.1
20:14:21,0.0,0.0
20:14:22,0.0,0.0
20:14:23,0.0,0.0
20:14:24,0.0,0.0
20:14:25,0.0,0.2
20:14:26,0.0,0.0
20:14:27,0.0,0.1
20:14:28,0.0,0.0
20:14:29,0.1,0.1
20:14:30,0.0,0.0
20:14:31,0.0,0.0
20:14:32,0.0,0.0
20:14:33,0.0,0.0
20:14:34,0.0,0.0
20:14:35,0.0,0.0
20:14:36,0.0,0.0
20:14:37,0.0,0.0
20:14:38,0.0,0.0
20:14:39,0.0,0.0
20:14:40,0.0,0.0
20:14:41,0.0,0.0
20:14:42,0.0,0.0
20:14:43,0.0,0.0
20:14:44,0.0,0.0
20:14:45,0.0,0.0
20:14:46,0.0,0.0
20:14:47,0.0,0.0
20:14:48,0.0,0.0
20:14:49,0.0,0.0
20:14:50,0.0,0.0
20:14:51,0.0,0.0
20:14:52,0.0,0.0
20:14:53,0.0,0.0
20:14:54,0.0,0.0
20:14:55,0.0,0.0
20:14:56,0.0,0.0
20:14:57,0.0,0.0
20:14:58,0.0,0.0
20:14:59,0.0,0.0
20:15:00,0.0,0.0
20:15:01,0.0,0.0
20:15:02,0.0,0.0
20:15:03,0.0,0.0
20:15:04,0.0,0.0
20:15:05,0.0,0.0
20:15:06,0.0,0.0
20:15:07,0.0,0.0
20:15:08,0.0,0.0
20:15:09,0.0,0.0
20:15:10,0.0,0.0
20:15:11,0.0,0.0
20:15:12,0.0,0.0
20:15:13,0.0,0.0
20:15:14,0.0,0.0
20:15:15,0.0,0.0
20:15:16,0.0,0.0
20:15:17,0.0,0.0
20:15:18,0.0,0.1
20:15:19,0.0,0.0
20:15:20,0.0,0.1
20:15:21,0.0,0.0
20:15:22,0.0,0.0
20:15:23,0.0,0.0
20:15:24,0.0,0.0
20:15:25,0.0,0.0
20:15:26,0.0,0.0
20:15:27,0.0,0.0
20:15:28,0.0,0.0
20:15:29,0.0,0.2
20:15:30,0.0,0.0
20:15:31,0.0,0.0
20:15:32,0.0,0.0
20:15:33,0.0,0.0
20:15:34,0.1,0.0
20:15:35,0.0,0.0
20:15:36,0.0,0.2
20:15:37,0.0,0.0
20:15:38,0.0,0.0
20:15:39,0.0,0.0
20:15:40,0.0,0.0
20:15:41,0.0,0.0
20:15:42,0.0,0.0
20:15:43,0.0,0.0
20:15:44,0.0,0.0
20:15:45,0.0,0.0
20:15:46,0.0,0.0
20:15:47,0.0,0.0
20:15:48,0.0,0.0
20:15:49,0.0,0.0
20:15:50,0.0,0.0
20:15:51,0.0,0.0
20:15:52,0.0,0.0
20:15:53,0.0,0.0
20:15:54,0.0,0.0
20:15:55,0.0,0.0
20:15:56,0.0,0.0
20:15:57,0.0,0.0
20:15:58,0.0,0.0
20:15:59,0.0,0.0
20:16:00,0.0,0.0
20:16:01,0.0,0.0
20:16:02,0.0,0.0
